cutoff,model,mae,rmse,acc_2.0,fc_1.5x
1,XGBoost,3.9686,6.4263,50.36,23.36
2,RandomForest,3.2122,5.3626,56.93,24.45
3,1D-CNN,3.0042,4.5291,52.19,13.5
4,1D-CNN,3.3125,5.3466,48.54,12.77
5,1D-CNN,3.0199,4.5704,51.09,13.5
6,XGBoost,3.4289,5.6074,51.82,36.5
7,1D-CNN,3.1926,4.6456,47.08,11.68
8,RandomForest,3.2725,5.1905,56.93,25.91
9,RandomForest,3.235,5.1379,58.39,25.55
10,XGBoost,2.939,4.9992,62.41,40.51
11,XGBoost,2.7535,4.7324,62.41,40.51
12,XGBoost,2.4783,4.4588,66.42,41.97
13,RandomForest,2.0236,3.6679,72.63,38.32
14,RandomForest,1.7688,3.478,80.29,43.43
15,XGBoost,1.5044,3.2858,82.85,51.09
16,XGBoost,1.4536,3.1189,82.48,52.19
17,XGBoost,1.4079,3.0353,81.39,56.57
18,XGBoost,1.3337,2.9469,81.75,57.66
19,XGBoost,1.2835,2.8935,83.21,58.39
20,RandomForest,1.1949,2.5983,86.13,55.84
21,XGBoost,1.1064,2.5821,86.13,59.49
22,XGBoost,1.1065,2.5294,85.4,60.22
23,XGBoost,1.0999,2.5028,83.94,58.39
24,XGBoost,1.0766,2.4307,84.67,59.49
25,XGBoost,1.0016,2.2437,85.4,60.58
26,XGBoost,0.972,2.1599,86.13,60.95
27,XGBoost,0.958,2.1423,86.86,61.31
28,XGBoost,0.9606,2.1612,85.4,60.95
29,XGBoost,0.9541,2.1246,87.23,60.58
30,XGBoost,0.9405,2.1018,86.86,60.58
31,XGBoost,0.9338,2.0774,85.77,62.77
32,XGBoost,0.9445,2.1238,85.77,62.04
33,XGBoost,0.9661,2.1682,86.5,62.77
34,XGBoost,0.9696,2.1555,86.86,62.77
35,XGBoost,0.9741,2.1783,86.86,62.41
36,XGBoost,0.9692,2.1395,87.59,62.77
37,XGBoost,0.9618,2.1303,87.59,62.77
38,XGBoost,0.9667,2.1369,87.59,62.41
39,XGBoost,0.9773,2.1667,87.23,63.14
40,XGBoost,0.962,2.1677,87.96,63.14
